#,Company,Symbol,Weight,Price,Change
1,Boeing Company,BA,9.838184,378.3,-0.69
2,UnitedHealth Group Incorporated,UNH,6.674838,251.4,0.0
3,3M Company,MMM,5.465424,208.08,0.0
4,Goldman Sachs Group Inc.,GS,5.204249,198.4,0.14
5,Apple Inc.,AAPL,4.842136,185.88,-0.24
6,McDonald's Corporation,MCD,4.816046,185.5,0.17
7,Home Depot Inc.,HD,4.786265,182.05,-0.18
8,Visa Inc. Class A,V,4.063885,155.77,0.31
9,International Business Machines Corporation,IBM,3.657759,139.43,0.0
10,Johnson & Johnson,JNJ,3.637467,137.7,0.1
11,Caterpillar Inc.,CAT,3.523351,132.67,0.0
12,Travelers Companies Inc.,TRV,3.506748,134.18,0.0
13,United Technologies Corporation,UTX,3.34414,125.9,-0.02
14,Chevron Corporation,CVX,3.283787,125.43,0.12
15,Microsoft Corporation,MSFT,3.019977,116.05,0.14
16,Walt Disney Company,DIS,3.017079,113.66,-1.3
17,American Express Company,AXP,2.960943,113.52,0.0
18,JPMorgan Chase & Co.,JPM,2.776197,106.29,-0.26
19,Procter & Gamble Company,PG,2.670251,102.47,0.03
20,Walmart Inc.,WMT,2.588552,98.44,0.02
21,NIKE Inc. Class B,NKE,2.289427,86.8,0.0
22,Merck & Co. Inc.,MRK,2.147639,81.43,-0.14
23,Exxon Mobil Corporation,XOM,2.119967,80.2,0.05
24,Walgreens Boots Alliance Inc,WBA,1.629243,62.55,-0.08
25,Verizon Communications Inc.,VZ,1.527251,58.21,-0.18
26,DowDuPont Inc.,DWDP,1.450295,55.1,-0.18
27,Intel Corporation,INTC,1.408392,54.48,0.15
28,Cisco Systems Inc.,CSCO,1.389943,53.22,0.02
29,Coca-Cola Company,KO,1.204407,45.35,0.05
30,Pfizer Inc.,PFE,1.085547,41.68,-0.1
