#,Company,Symbol,Weight,Price,Change
1,Microsoft Corp,MSFT,10.025,116.05,0.14
2,Apple Inc,AAPL,9.951,185.88,-0.24
3,Amazon.com Inc,AMZN,9.435,1711.7,-0.66
4,Alphabet Inc,GOOG,4.701,1183.41,-1.05
5,Facebook Inc,FB,4.535,165.79,-0.19
6,Alphabet Inc,GOOGL,4.121,1190.3,0.0
7,Intel Corp,INTC,3.1,54.48,0.15
8,Cisco Systems Inc,CSCO,2.991,53.22,0.02
9,Comcast Corp,CMCSA,2.297,40.47,0.0
10,PepsiCo Inc,PEP,2.065,115.66,0.0
11,Netflix Inc,NFLX,1.971,362.1,0.64
12,Adobe Inc,ADBE,1.569,256.6,-0.49
13,Amgen Inc,AMGN,1.524,190.69,-0.55
14,Broadcom Inc,AVGO,1.501,292.0,1.71
15,PayPal Holdings Inc,PYPL,1.484,101.08,0.35
16,Texas Instruments Inc,TXN,1.33,110.6,-0.14
17,NVIDIA Corp,NVDA,1.295,170.35,0.54
18,Costco Wholesale Corp,COST,1.28,233.7,0.1
19,Starbucks Corp,SBUX,1.096,70.73,0.06
20,Gilead Sciences Inc,GILD,1.062,65.5,-0.13
21,Charter Communications Inc,CHTR,1.019,352.71,-3.21
22,Booking Holdings Inc,BKNG,1.015,1749.4,-2.77
23,Mondelez International Inc,MDLZ,0.869,47.85,0.05
24,QUALCOMM Inc,QCOM,0.858,56.46,-0.14
25,Automatic Data Processing Inc,ADP,0.85,154.9,-0.41
26,Intuit Inc,INTU,0.838,258.13,0.0
27,Biogen Inc,BIIB,0.831,329.0,-0.87
28,Intuitive Surgical Inc,ISRG,0.797,552.0,-6.21
29,T-Mobile US Inc,TMUS,0.779,73.46,0.0
30,Celgene Corp,CELG,0.773,88.5,0.04
31,CSX Corp,CSX,0.769,72.81,0.0
32,Walgreens Boots Alliance Inc,WBA,0.743,62.55,-0.08
33,Twenty-First Century Fox Inc,FOXA,0.687,51.8,-0.21
34,Vertex Pharmaceuticals Inc,VRTX,0.601,188.09,0.0
35,Baidu Inc ADR,BIDU,0.598,170.55,0.07
36,Tesla Inc,TSLA,0.591,275.37,-0.06
37,Illumina Inc,ILMN,0.57,306.87,-2.97
38,Micron Technology Inc,MU,0.561,39.59,0.05
39,Regeneron Pharmaceuticals Inc,REGN,0.551,414.0,-0.47
40,Cognizant Technology Solutions Corp,CTSH,0.522,72.13,0.0
41,Marriott International Inc/MD,MAR,0.522,122.32,0.0
42,Twenty-First Century Fox Inc,FOX,0.516,51.6,-0.12
43,Analog Devices Inc,ADI,0.506,109.39,0.0
44,Applied Materials Inc,AMAT,0.496,40.55,0.16
45,Kraft Heinz Co/The,KHC,0.489,32.06,-0.03
46,eBay Inc,EBAY,0.437,36.15,-0.15
47,Fiserv Inc,FISV,0.43,86.79,0.55
48,Activision Blizzard Inc,ATVI,0.426,44.75,0.12
49,Ross Stores Inc,ROST,0.42,89.9,0.0
50,Autodesk Inc,ADSK,0.419,152.54,-0.74
51,Monster Beverage Corp,MNST,0.417,60.27,0.0
52,Xilinx Inc,XLNX,0.393,124.12,-0.05
53,NXP Semiconductors NV,NXPI,0.384,93.35,-0.03
54,Alexion Pharmaceuticals Inc,ALXN,0.38,136.74,0.65
55,Electronic Arts Inc,EA,0.374,98.6,-0.38
56,O'Reilly Automotive Inc,ORLY,0.371,370.27,0.25
57,Xcel Energy Inc,XEL,0.363,56.4,-0.1
58,Paychex Inc,PAYX,0.356,79.23,0.0
59,Lam Research Corp,LRCX,0.354,182.46,0.07
60,Workday Inc,WDAY,0.348,188.84,2.15
61,Sirius XM Holdings Inc,SIRI,0.343,6.16,-0.01
62,JD.com Inc ADR,JD,0.323,28.0,0.07
63,Dollar Tree Inc,DLTR,0.297,99.86,0.0
64,PACCAR Inc,PCAR,0.296,67.65,0.0
65,Advanced Micro Devices Inc,AMD,0.291,23.35,0.06
66,Willis Towers Watson PLC,WLTW,0.282,173.65,0.0
67,United Continental Holdings Inc,UAL,0.278,81.7,0.01
68,MercadoLibre Inc,MELI,0.276,488.73,0.0
69,Cintas Corp,CTAS,0.275,204.55,-1.0
70,VeriSign Inc,VRSN,0.275,181.62,0.0
71,Verisk Analytics Inc,VRSK,0.264,128.43,0.0
72,Microchip Technology Inc,MCHP,0.255,86.89,0.79
73,Ctrip.com International Ltd ADR,CTRP,0.254,41.65,-0.02
74,Ulta Beauty Inc,ULTA,0.253,338.9,0.49
75,Align Technology Inc,ALGN,0.252,252.33,0.0
76,Check Point Software Technologies Ltd,CHKP,0.245,125.64,0.0
77,Cerner Corp,CERN,0.239,57.91,0.0
78,IDEXX Laboratories Inc,IDXX,0.233,216.21,0.0
79,KLA-Tencor Corp,KLAC,0.229,119.92,0.3
80,Incyte Corp,INCY,0.226,84.8,0.0
81,Fastenal Co,FAST,0.224,62.28,0.0
82,NetEase Inc ADR,NTES,0.222,242.35,0.0
83,Lululemon Athletica Inc,LULU,0.217,141.87,0.08
84,Cadence Design Systems Inc,CDNS,0.215,60.99,0.0
85,NetApp Inc,NTAP,0.214,68.0,-0.06
86,BioMarin Pharmaceutical Inc,BMRN,0.21,94.53,0.0
87,Expedia Group Inc,EXPE,0.207,121.56,0.0
88,Synopsys Inc,SNPS,0.203,110.12,0.95
89,Maxim Integrated Products Inc,MXIM,0.188,54.14,0.0
90,Skyworks Solutions Inc,SWKS,0.186,83.5,-0.26
91,Symantec Corp,SYMC,0.184,22.7,-0.32
92,Mylan NV,MYL,0.181,28.09,0.0
