#,Company,Symbol,Weight,Price,Change
1,Microsoft Corporation,MSFT,3.754728,116.05,0.14
2,Apple Inc.,AAPL,3.514293,185.88,-0.24
3,Amazon.com Inc.,AMZN,2.936674,1711.7,-0.66
4,Facebook Inc. Class A,FB,1.733811,165.79,-0.19
5,Berkshire Hathaway Inc. Class B,BRK.B,1.677888,204.31,0.0
6,Johnson & Johnson,JNJ,1.569734,137.7,0.1
7,Alphabet Inc. Class C,GOOG,1.546657,1183.41,-1.05
8,Alphabet Inc. Class A,GOOGL,1.511792,1190.3,0.0
9,JPMorgan Chase & Co.,JPM,1.485942,106.29,-0.26
10,Exxon Mobil Corporation,XOM,1.444203,80.2,0.05
11,Visa Inc. Class A,V,1.149409,155.77,0.31
12,Bank of America Corp,BAC,1.140856,29.32,0.02
13,Procter & Gamble Company,PG,1.070394,102.47,0.03
14,Intel Corporation,INTC,1.034611,54.48,0.15
15,UnitedHealth Group Incorporated,UNH,1.033216,251.4,0.0
16,Verizon Communications Inc.,VZ,1.015395,58.21,-0.18
17,Pfizer Inc.,PFE,1.010109,41.68,-0.1
18,Chevron Corporation,CVX,1.009676,125.43,0.12
19,Cisco Systems Inc.,CSCO,1.006027,53.22,0.02
20,AT&T Inc.,T,0.934449,30.66,-0.01
21,Wells Fargo & Company,WFC,0.905189,50.55,-0.11
22,Merck & Co. Inc.,MRK,0.899235,81.43,-0.14
23,Mastercard Incorporated Class A,MA,0.881416,231.4,0.23
24,Home Depot Inc.,HD,0.87023,182.05,-0.18
25,Boeing Company,BA,0.836327,378.3,-0.69
26,Comcast Corporation Class A,CMCSA,0.768386,40.47,0.0
27,Coca-Cola Company,KO,0.742373,45.35,0.05
28,Walt Disney Company,DIS,0.722658,113.66,-1.3
29,PepsiCo Inc.,PEP,0.691397,115.66,0.0
30,Citigroup Inc.,C,0.66455,65.23,0.04
31,Netflix Inc.,NFLX,0.663501,362.1,0.64
32,McDonald's Corporation,MCD,0.597942,185.5,0.17
33,Walmart Inc.,WMT,0.594599,98.44,0.02
34,Philip Morris International Inc.,PM,0.591899,90.5,-0.35
35,Abbott Laboratories,ABT,0.588199,80.15,0.29
36,Oracle Corporation,ORCL,0.572441,52.84,-0.1
37,Adobe Inc.,ADBE,0.552732,256.6,-0.49
38,DowDuPont Inc.,DWDP,0.535549,55.1,-0.18
39,International Business Machines Corporation,IBM,0.534238,139.43,0.0
40,Medtronic plc,MDT,0.531594,93.5,-0.29
41,salesforce.com inc.,CRM,0.521052,161.7,0.19
42,Union Pacific Corporation,UNP,0.515041,164.0,-1.0
43,3M Company,MMM,0.512527,208.08,0.0
44,AbbVie Inc.,ABBV,0.51064,81.02,-0.32
45,Amgen Inc.,AMGN,0.507598,190.69,-0.55
46,PayPal Holdings Inc,PYPL,0.494354,101.08,0.35
47,Eli Lilly and Company,LLY,0.492298,123.94,0.0
48,Honeywell International Inc.,HON,0.486169,155.35,0.0
49,Broadcom Inc.,AVGO,0.470828,292.0,1.71
50,NIKE Inc. Class B,NKE,0.468628,86.8,0.0
51,Altria Group Inc,MO,0.447838,56.79,0.04
52,Thermo Fisher Scientific Inc.,TMO,0.44632,263.09,0.0
53,Accenture Plc Class A,ACN,0.445368,166.39,0.0
54,United Technologies Corporation,UTX,0.436659,125.9,-0.02
55,Texas Instruments Incorporated,TXN,0.436408,110.6,-0.14
56,Costco Wholesale Corporation,COST,0.434566,233.7,0.1
57,NVIDIA Corporation,NVDA,0.428218,170.35,0.54
58,Linde plc,LIN,0.407093,176.0,-0.43
59,NextEra Energy Inc.,NEE,0.386915,192.0,0.76
60,General Electric Company,GE,0.3799,9.98,0.02
61,Starbucks Corporation,SBUX,0.372151,70.73,0.06
62,Gilead Sciences Inc.,GILD,0.354163,65.5,-0.13
63,American Tower Corporation,AMT,0.35108,189.98,1.01
64,Bristol-Myers Squibb Company,BMY,0.345314,49.96,0.0
65,Lowe's Companies Inc.,LOW,0.345014,100.4,0.26
66,Booking Holdings Inc.,BKNG,0.34252,1749.4,-2.77
67,Danaher Corporation,DHR,0.335074,128.69,0.0
68,Anthem Inc.,ANTM,0.33503,303.0,0.0
69,Caterpillar Inc.,CAT,0.334783,132.67,0.0
70,American Express Company,AXP,0.334732,113.52,0.0
71,U.S. Bancorp,USB,0.334085,52.07,0.0
72,ConocoPhillips,COP,0.328557,67.4,-0.19
73,United Parcel Service Inc. Class B,UPS,0.326859,109.79,0.27
74,Lockheed Martin Corporation,LMT,0.311829,296.15,0.0
75,CVS Health Corporation,CVS,0.305928,55.59,-0.01
76,Mondelez International Inc. Class A,MDLZ,0.293164,47.85,0.05
77,Goldman Sachs Group Inc.,GS,0.289806,198.4,0.14
78,Becton Dickinson and Company,BDX,0.286971,253.92,0.0
79,QUALCOMM Incorporated,QCOM,0.284768,56.46,-0.14
80,Automatic Data Processing Inc.,ADP,0.283698,154.9,-0.41
81,Intuit Inc.,INTU,0.282589,258.13,0.0
82,TJX Companies Inc,TJX,0.275432,51.88,0.11
83,Biogen Inc.,BIIB,0.27466,329.0,-0.87
84,Duke Energy Corporation,DUK,0.273156,91.12,0.47
85,Intuitive Surgical Inc.,ISRG,0.270479,552.0,-6.21
86,Cigna Corporation,CI,0.268548,167.5,1.05
87,Charter Communications Inc. Class A,CHTR,0.265647,352.71,-3.21
88,Chubb Limited,CB,0.264627,136.35,0.0
89,Celgene Corporation,CELG,0.262001,88.5,0.04
90,CME Group Inc. Class A,CME,0.255453,169.95,-0.19
91,PNC Financial Services Group Inc.,PNC,0.253879,129.86,0.0
92,Stryker Corporation,SYK,0.253058,194.04,0.0
93,Schlumberger NV,SLB,0.25155,42.5,0.11
94,CSX Corporation,CSX,0.248465,72.81,0.0
95,Dominion Energy Inc,D,0.24415,77.24,0.2
96,Colgate-Palmolive Company,CL,0.242127,66.25,-0.95
97,Morgan Stanley,MS,0.236766,43.33,0.0
98,Simon Property Group Inc.,SPG,0.234454,176.09,-0.0
99,Boston Scientific Corporation,BSX,0.23361,40.4,0.19
100,Twenty-First Century Fox Inc. Class A,FOXA,0.231708,51.8,-0.21
101,Charles Schwab Corporation,SCHW,0.229755,45.45,0.0
102,Southern Company,SO,0.224726,51.3,-0.56
103,BlackRock Inc.,BLK,0.224441,433.65,0.1
104,EOG Resources Inc.,EOG,0.219107,89.05,0.2
105,Crown Castle International Corp,CCI,0.216905,125.03,0.0
106,Raytheon Company,RTN,0.216558,178.39,0.44
107,Deere & Company,DE,0.213735,157.7,-0.45
108,S&P Global Inc.,SPGI,0.213691,203.18,0.0
109,Walgreens Boots Alliance Inc,WBA,0.211072,62.55,-0.08
110,General Motors Company,GM,0.210525,38.1,0.03
111,Occidental Petroleum Corporation,OXY,0.21042,65.47,0.0
112,Norfolk Southern Corporation,NSC,0.206859,179.52,0.0
113,Bank of New York Mellon Corporation,BK,0.204689,53.12,0.0
